Context utterance,Response utterance,Implicature 
You want to try?,We can ask for nothing better.,Yes.
Should I water your plants while you are away?,Thanks for the offer. But Mark already said that he will have an eye on them.,No.
Would you like me to take you home?,God. You would.,Yes.
You don't mind taking care of that dog?,It is a labor of love.,No.
"Can he play the violin?
",Can a pig fly?,No.
You're blaming us?,I am thanking you.,No.
Did I explain it well?,Your explanation is as clear as mud.,No.
Are you going to tell him you've been sneaking it out of his wallet?,"All right, you know what I'm gonna do?",Yes.
You did it?,I mean it's my theory that I did it. Under post-hypnotic suggestion. With an amnesia block so I wouldn't remember,No.
And you didn't try to find out who?,"Believe me, I've done everything possible short of asking Agnes.",No.
Did Jeffery consider jim?,Jeffrey gave him the cold shoulder.,No.
Will you be staying in Gotham for a while?, As far as I know.,Yes.
You looked out for him?,He looked out for me. He taught me.,No.
Do you love eating that?,It is one of my favourite meals.,Yes.
"Is someone unable to breathe, sir?","It is, I believe, cardiac arrest.",Yes.
Do you love me?,My love for you is as deep as the ocean.,Yes.
Do you believe they have a defense?,"It doesn't matter what I believe, it only matters what I can prove.",Yes.
Let's have a pizza for dinner.,I am on diet. ,No.
Was Benny emotional?,Benny always wears his heart on his sleeve,Yes.
Are there any more cookies?,All gone.,No.
Is that any way to talk to your mother?,You aren't my mother.,No.
Is he honest?,He is an open book.,Yes.
Should we go fishing?,Fishing is off season.,No.
I cant believe how much similar you both look. Are you related?,People are always assuming that we are related.,No.
You have trouble sleeping?,I get headaches.,Yes.
Do you suppose I was dropped on my head?,I hope not.,No.
Didn't he work for the Church?,Almost exclusively.,Yes.
Do you agree with me?,You are preaching to the choir.,Yes.
"Wilbur, are you alright?","Don't worry ma'am, I'll handle this.",Yes.
"They were fine?
",All is good.,Yes
"But you're saying, you're a daughter of Eve?","Well, my mum's name is Helen…",No.
Can somebody come inhere and work on Shrek please?,I will see what I can do.,Yes.
did you do that?,"I, I didn't know I could.",Yes.
That cake looks delicious. Aren't you going to have some with me?,Birthday's come only once in a year.,Yes.
Do you know how to play the violin?,Do cats meow?,Yes.
"Winifred, did I say that I was going to take the children to the bank?","It certainly sounded that way, dear.",Yes.
Am I right?,I would think so.,Yes.
Will the three of us fit?,There's plenty of room.,Yes.
Wonderful. You won the scolarship. Can you believe it?,It almost too good to be true.,No.
Will we ever go back?,"I expect so, probably when you least expect it.",Yes.
Is it a good product?,They had put a lot of thought into making it.,Yes.
Is it true that you mother has cancer?,She has been sick for three months.,Yes.
Is he enthusiastic?,He is an eager beaver.,Yes.
Anything new?, The usual gas.,No.
Aren't you scared?,Sometimes.,Yes.
"You don't look normal. Are you all right?""",I have a headache.,No.
"Hey, man, did this happen by accident or was it done deliberately?",It's hard to say.,No.
Have you found the place at last?,It was futile.,No.
Do you think that Dr. Luby will organize a theatre trip to New York this year?,I have already signed up for it.,Yes.
Is that a big turkey?,That turkey could feed an army!,Yes.
Are you a morning person?,I’m more of a night owl.,No.
Does she eat a lot?,She eats like a bird.,No.
"Uh, keep an eye on uncle Albert, will you, Bert?",I'll sit with him a while.,Yes.
Would you like some milk in your coffee?,Please,Yes.
Perhaps it can be improved?,No problem!,Yes.
And do you want my permission?,I'd like yours too.,Yes.
Are you a shiftless dreamer?, Not anymore.,No.
Would you like me to take care of that?,if you feel like it.,Yes.
Could he hit?,Lifetime 356 average. Third highest in history.,Yes.
"Do you need someone to help you send messages to customers by email ?
",That's my job. I am on top of that.,No.
Should I bring my umbrella?,Better safe than sorry.,Yes.
Can you see the spot?,It is as bright as a button.,Yes.
Are the shops open at night?,New York is the city that never sleeps.,Yes.
Did he finish the painting?,Does the sun rise in the west?,"No.
"
Do you think we were right?,I think you'd lose.,No.
Did you get a mail about this party?,Word of mouth.,No.
Mind if I leave my umbrella here in the hallway?,Not at all. But first shake it outside .Would you?,No.
"You mean like, hide and seek?",Perfect! Hide and seek in the rain.,Yes.
Do you think I should finish it fast?,Time is ticking away.,Yes.
Are you planning to buy a house?,I really want a place to call my own.,Yes.
Do you think I should attend the interview?,Do you want to be a failure for the rest of your life?,Yes.
"Do you mean the girl by the fire?
",The girl with a torch.,No.
Have you had a chance to wear your new shirt yet?,I have been trying to exchange it for a larger size.,No.
You heard what I said?,Every word.,Yes.
Weren't you afraid you couldn't escape ?,But it's only a story.,No.
Would he fire me?,He's all bark and no bite.,No.
Do you want a flashlight?,that's okay. I'll be fine.,No.
Can he feel it if I pet him?,I guess.,Yes.
You do this often?,It's my first time.,No.
"Do you know, how long is Uncle Arthur staying with us?",Ask your father.,No.
Are these all books for your history course?,A lot of these are optional. You know me. When I do something I give 200%.,No.
Would you like to go to the show?,I'm all for it.,Yes.
Should I go straight at this intersection?,Hang a left.,No.
Want me to give you a hand changing her?,"don't worry, I'm used to it.",No.
Do you have a lot of papers to grade?,I have a ton of papers to grade.,Yes.
"Have you seen my watch?
",I will take a look for it around my house.,No.
Have they reached an agreement?,It seems they didn’t have any common ground to stand on.,No.
But didn't those friends of yours tell you what formula they usually give the baby?,actually they had to leave unexpectedly. They had to catch a plane…,No.
Was that a great offer?,I was on the fence about whether to accept the offer.,No.
Is your neighbour old?,Older than dirt.,Yes.
Can I help you?,I'm in a bad place. I wanna turn myself in for treatment.,Yes.
Are you going to tell him what you think?,You bet your boots I am.,Yes.
Are you ready?,All systems are go.,Yes.
Think it's in there?,All right. Let's get it!,Yes.
did you hear that song on the way in to work this morning?,Everything is Awesome? I love that song.,Yes.
Did you hear that Mary turned out that job?,The hours were convenient. But it was not enough to make the ends meet.,Yes.
Was that easy to find me?,It took forever to find you.,No.
Could you finish the chores ?,It was a ton of chores to do.,No.
"Excuse me, can I borrow your guitar?","Sorry, muchacho.",No.
Will she scold you?,She is going to kill me.,Yes.
Did she look pretty?,She was as cute as a kitten,Yes.
Could you gets tickets for the concert?,I completely missed the boat.,No.
Is it also true that you saw no boat around here at Lisca between yesterday and this morning?,"How many times do I have to tell you, Marshal, that I was at Panarea.",No.
Do you recommend that I talk with the boss?,I would advise against it.,No.
You don't add some kind of special sauce or something?,"Don't have to. To make something special, you just have to believe it's special.",No.
Does professor Ford always come to class?,She is ice cold.,yes.
"Are you feeling, alright?",I'm afraid.,No.
Do you like that theory?,Sounds good. Let's move on.,Yes.
"You're both comin', right?",We're already here,Yes.
"Could I have some money,
to buy a new belt?",I know you want one. ,Yes.
"You have it, then?",I had to slit a few throats to get it.,Yes.
Are you going to talk to Mark?,I want to get this off my chest.,Yes.
You've already brought me the entire Ten thousand miles?,"Only nine thousand eight hundred and ninety one, as the dragon flies.",No.
Do you know where he is?,I'll find him.,No.
You're really gonna pop the question?,"Got the ring. Got the airline tickets. Soon as they break that piñata, we'll grab a cab - and it's off to the land of palm trees and coconuts.",Yes.
Did she smile at you?,Her smile was a mile wide.,Yes.
"You are a musician, no?",I only really play for myself,No.
"So is everything good, fellas?",I am panicked,No
You guys used to date regularly?,Hardly,No.
Are you okay?,Is official. My powers are kaput.,No.
Does he work hard?,He has never done a lick of work in his life.,No.
Did you fingerprint or anything?,"these guys always wear Gloves.
",No.
I cant read the service problem. Can you help me?,Neither can I.,No.
"Should it not be a wonderful, romantic moment?","sorry, lady. There's no time.",Yes.
"You think they'll let us go back to our platoon soon, ma'am?",Absolutely.,Yes.
Do you ever consider... do you realize that Mary may never come back?,"I think about it everyday. But, every time the phone rings... every single time, I still think it's her.",No.
"Dr. Nefario! Come on, you're kidding, right?",It's a great opportunity for me,No.
Are you a Dodgers' fan?,I don't like baseball.,No.
Does she walk fast?,She walks as slow as a turtle.,No.
Are you sad about losing your job?,It turned out to be a blessing in disguise.,No.
Do they fight?,They fight like cats and dogs.,Yes.
Will you start processing soon?,We shall proceed with your order in no time.,Yes.
Are there more like you?  ,Dead. All dead. Long time.,No.
"Fred, is there something you want to tell me about the lodge meeting?",I don't wanna think about it.,No.
Does this look good?,That's it weirdo!,No.
Would he be able to recite the song?,Do dogs bark?,Yes.
Have you ever dealt with anything like this?,"Have you met my father?
",Yes.
Did it succeed?,The whole matter is on the verge of failure.,No.
You....you actually believe her?,Well don't you?,Yes.
Did they like the proposal we put together?, It looks like it’s back to the drawing board.,No.
Am I the love of your life?,I'm still angry at you.,No.
Did you sleep well last night?,"Last night, I slept like a log.",Yes.
Is it a difficult test?,It would be a piece of cake,No.
But do you think next time we could go to the same game?,No problem.,Yes.
Are you giving me a ride?,Don't need to.,No.
Isn't it fantastic?,it - it's great. Now let's get outta here.,Yes.
Did I do it well?,You were as brave as a lion.,Yes.
You wanna give up now?,This was your dream. You'll manage.,Yes.
"Hey, Donna, man, do you like cats?",Dripping little things. Moving along about a foot above the ground.,No.
Would you like to order dinner?,Bear in mind that I do not speak French.,No.
"Heh. That's a joke, right?",What's a joke?,No.
Do you like some Jams or jellies?,"Oh, attitude! That's right! So thanks, but no thanks.",No.
Was he happy?,was on cloud nine.,Yes.
Are you sure this is a good idea?,"Look, if Artie trusts him, that's good enough for me.",Yes.
Does anyone know how to pick alock?,Sure. Picking locks is my thing.,Yes.
Can you drive that far?,Can fish swim?,Yes.
Do you think father made all his money?,He inherited it.,No.
Are you feeling alright?,"I've been ordered into bed. The doctor says I've gotten the flu, or some other wretched ailment.",Yes.
Do you have your breakfast?,I've got some sandwiches in my pack.,Yes.
Is it too risky of an investment?,I think you’re playimg with fire.,Yes.
Are you busy?,I’m drowning in work.,No.
you want to team-up?,"You got the brains, I got the brawn.",Yes.
Was that easy to find?,I had to walk to the ends of the Earth to find it!,No.
Is she still out there?,"You know she hates the cave, Grug.",Yes.
"You, uh, you don't want to go for a ride, do you?",Is it safe?,Yes.
Is it too much?,it's all great.,No.
Like it ?,it's wonderful !,Yes.
Are you sure?,It's a known fact.,Yes.
Is he - dead?,"Oh, I - I can't make out a heartbeat.",Yes.
Do you think you will be able to finish your report by five o'clock today?,Not a chance. I'll be busy in meetings all day.,No.
That is how it's going to be?,That is how it must be.,Yes.
You want answers?,I think I'm entitled to them.,Yes.
You really hate music that much?,I will not let you go down the same path he did.,Yes.
Did they speak in turns?,one after the other.,Yes.
"Hey, did you guys see the moon landing on TV?",I can't believe it. It's so cool…,Yes.
Did you like it?,I was glad when it was over.,No.
"I wonder, Bob, if you can handle my car?",It's an ordinary six cylinder.,Yes.
Is there a bus I can get to the station.,You can't rely on it.,Yes.
Shall we get spots?,"Oh, highly unlikely.",No.
"You're like, a private detective?",That's exactly what I am.,Yes.
Did you hear something?,"Hmm, I wonder what this one is?",No.
don't you stay for a nightcap? ,I've gotta get up early,No.
Is it nearby?,It will only take me two seconds to get there.,No.
Are you dressed up to go to bingo?,"Ahh, I just wanna look nice.",No.
Got any more of those?, Nothing I'm at liberty to reveal here.,Yes.
You liked Sister Paul?,She was kind to me. She told me I was beautiful.,Yes.
Are you alone?,Dan and I had a fight and he split.,Yes.
Don’t you think that professor Mark’s tests are too difficult?,well I must had been. I was expecting past more than a passing grade in Biology.,yes.
Is your uncle rich?,"Well, let's just say he is well off.",No.
Have you seen them recently?,I haven’t seen them in ages.,No.
Did the health minister track all the patients?,The health minister tracked some of the patients.,No.
waiting for us?,You got to be joking!,No.
Have you ever been to Corto Maltese?,Not since the shooting started.,Yes.
Do you still have the gun?,You told me to give it back.,No.
"You don't believe their story, do you?",I believe every word they said.,Yes.
Did you go there?,I didn't need to --,No.
Do you sail?,"Too much work. I'm not really the physical type.
",No.
Are you friends?,We almost never see eye to eye.,No.
Is he rich ?,He was born with a spoon in his mouth.,Yes.
Could you perform well?,Being bilingual would help put me ahead of the pack.,Yes.
Do you enjoy fishing underwater?,I detest it.,No.
Did you argue with the clerk?,"I was really angry, but I managed to hold my tongue.",No.
You're all right?,Cold and wet but alive.,No.
Do you want this so badly?, It is everything.,Yes.
Is he currently employed?,He's... he's going through a bad patch at the moment. But it's not his fault.,No.
I noticed that you have not installed that program on your computer. Shall I sit with you with the instruction manual?,That would be great. You need a phD to undertand it.,Yes.
You knew about the Earthling child ?!,I knew everything.,Yes.
Does he have problems with his acconting project?,He has been struggling with that from day one.,Yes. 
Did you ask her?,ve done everything possible short of asking her,No.
Kids? Are they okay?,"They're alright, baby.",Yes.
Do you like my new outfit?,You shouldn’t be allowed to buy clothes.,No.
Is the professor friendly?,He is as cool as a cucumber.,Yes.
"That's some magnificent view, isn't it?",It's wonderful -- Life is wonderful!,Yes.
Does it rain frequently?,It only rains here once in a blue moon.,No.
Is it raining heavily?,It’s raining cats and dogs.,Yes.
Is this where I get travelling papers?,It would be if we let you travel which we don’t so it isn’t.,Yes.
Are you still waiting for Bob?,I don’t know why I bother. The store wll be closed by the time we get there.,yes.
"Getting into trouble a little early today, aren't we Aladdin?",Trouble? You're only in trouble if you get caught,No.
Are they gonna try to eat our Brains?,I think you'll be safe.,No.
You're admitting evidence of a flight that never existed?,"We believe it did, sir.",No.
Would you like to join me on a tour of my kingdom tomorrow?,"Wonderful, now let's eat, before this crab wanders off my plate.",Yes.
